DividendDetail,Header,DataDiscriminator,Currency,Symbol,Conid,Country,ReportDate,ExDate,Shares,RevenueComponent,QualifiedIndicator,Gross,GrossInBase,GrossInUSD,Withhold,WithholdInBase,WithholdInUSD
DividendDetail,Data,Summary,USD,ACWX,49954149,US,20201218,20201214,27,,,13.26,13.26,13.26,-1.33,-1.33,-1.33
DividendDetail,Data,RevenueComponent,USD,ACWX,49954149,US,20201218,20201214,,Ordinary Dividend,Not Qualified,1.57599078,1.57599078,1.57599078,-0.157599078,-0.157599078,-0.157599078
DividendDetail,Data,RevenueComponent,USD,ACWX,49954149,US,20201218,20201214,,Ordinary Dividend,Qualified - Meets Holding Period,11.68400922,11.68400922,11.68400922,-1.168400922,-1.168400922,-1.168400922
DividendDetail,Data,Summary,USD,BND,43645828,US,20200806,20200803,14,,,2.22,2.22,2.22,-0.03,-0.03,-0.03
DividendDetail,Data,RevenueComponent,USD,BND,43645828,US,20200806,20200803,,Ordinary Dividend,Not Qualified,0.27395466,0.27395466,0.27395466,-0.027395466,-0.027395466,-0.027395466
DividendDetail,Data,RevenueComponent,USD,BND,43645828,US,20200806,20200803,,Interest-Related Dividends from a RIC,Qualified - Meets Holding Period,1.94604534,1.94604534,1.94604534,0,0,0
DividendDetail,Data,Summary,USD,BND,43645828,US,20200904,20200901,17,,,2.6,2.6,2.6,-0.03,-0.03,-0.03
DividendDetail,Data,RevenueComponent,USD,BND,43645828,US,20200904,20200901,,Ordinary Dividend,Not Qualified,0.319423,0.319423,0.319423,-0.0319423,-0.0319423,-0.0319423
DividendDetail,Data,RevenueComponent,USD,BND,43645828,US,20200904,20200901,,Interest-Related Dividends from a RIC,Qualified - Meets Holding Period,2.280577,2.280577,2.280577,0,0,0
DividendDetail,Data,Summary,USD,BND,43645828,US,20201006,20201001,17,,,2.55,2.55,2.55,-0.03,-0.03,-0.03
DividendDetail,Data,RevenueComponent,USD,BND,43645828,US,20201006,20201001,,Ordinary Dividend,Not Qualified,0.31928295,0.31928295,0.31928295,-0.031928295,-0.031928295,-0.031928295
DividendDetail,Data,RevenueComponent,USD,BND,43645828,US,20201006,20201001,,Interest-Related Dividends from a RIC,Qualified - Meets Holding Period,2.23071705,2.23071705,2.23071705,0,0,0
DividendDetail,Data,Summary,USD,BND,43645828,US,20201105,20201102,17,,,2.57,2.57,2.57,-0.03,-0.03,-0.03
DividendDetail,Data,RevenueComponent,USD,BND,43645828,US,20201105,20201102,,Ordinary Dividend,Not Qualified,0.32617926,0.32617926,0.32617926,-0.032617926,-0.032617926,-0.032617926
DividendDetail,Data,RevenueComponent,USD,BND,43645828,US,20201105,20201102,,Interest-Related Dividends from a RIC,Qualified - Meets Holding Period,2.24382074,2.24382074,2.24382074,0,0,0
DividendDetail,Data,Summary,USD,BND,43645828,US,20201204,20201201,17,,,2.43,2.43,2.43,-0.03,-0.03,-0.03
DividendDetail,Data,RevenueComponent,USD,BND,43645828,US,20201204,20201201,,Ordinary Dividend,Not Qualified,0.31117608,0.31117608,0.31117608,-0.031117608,-0.031117608,-0.031117608
